Time,Current,Voltage,Temperature,SOC
0.0,-0.01062,4.17802,25.61949,1.0
0.10099522769451141,-0.04981,4.17673,25.61949,0.9999994650321834
0.20200051367282867,-0.06615,4.17609,25.61949,0.9999987545700058
0.3040015697479248,-0.06941,4.17609,25.61949,0.9999980090948773
0.4049967974424362,-0.07105,4.17544,25.61949,0.9999972460058717
0.5089994519948959,-0.07105,4.17544,25.61949,0.9999964829168662
0.5999967455863953,-0.07105,4.17544,25.61949,0.9999957198278606
0.7030036300420761,-0.07186,4.17544,25.61949,0.9999949480393181
0.8049946278333664,-0.07105,4.17544,25.61949,0.9999941849503126
0.9069956839084625,-0.07105,4.17544,25.61949,0.9999934218613069
1.0080009698867798,-0.07186,4.17544,25.61949,0.9999926500727645
1.110002025961876,-0.07105,4.17544,25.61949,0.999991886983759
1.2100014835596085,-0.07186,4.17544,25.61949,0.9999911151952164
1.310000941157341,-0.07105,4.17544,25.61949,0.9999903521062109
1.3989966362714767,-0.07186,4.17544,25.61949,0.9999895803176684
1.5090040862560272,-0.07186,4.17544,25.61949,0.999988808529126
1.6090035438537598,-0.07105,4.17544,25.61949,0.9999880454401203
1.700996607542038,-0.07186,4.17544,25.61949,0.9999872736515779
1.8049992620944977,-0.07105,4.17544,25.61949,0.9999865105625724
1.9099976867437363,-0.07105,4.17544,25.61949,0.9999857474735667
2.0020008087158203,-0.07105,4.17544,25.61949,0.9999849843845612
2.1079950034618378,-0.07105,4.17544,25.61949,0.9999842212955555
2.2010039538145065,-0.07186,4.17544,25.60828,0.9999834495070131
2.3040007799863815,-0.07105,4.17544,25.60828,0.9999826864180076
2.404996007680893,-0.07105,4.17544,25.60828,0.9999819233290019
2.506997063755989,-0.07186,4.17544,25.61949,0.9999811515404595
2.6069965213537216,-0.07105,4.17544,25.61949,0.9999803884514539
2.703002840280533,-0.07105,4.17544,25.61949,0.9999796253624483
2.805999666452408,-0.07186,4.17544,25.61949,0.9999788535739058
2.908000722527504,-0.07105,4.17544,25.61949,0.9999780904849003
3.000003844499588,-0.07186,4.17544,25.61949,0.9999773186963579
3.1019948422908783,-0.07186,4.17544,25.61949,0.9999765469078153
3.205997496843338,-0.07105,4.17544,25.61949,0.9999757838188098
3.303995355963707,-0.07186,4.17544,25.61949,0.9999750120302673
3.400001674890518,-0.07105,4.17544,25.6307,0.9999742489412617
3.5009969025850296,-0.07105,4.17544,25.6307,0.9999734858522562
3.600996360182762,-0.07186,4.17544,25.6307,0.9999727140637137
3.7020016461610794,-0.07186,4.17544,25.61949,0.9999719422751713
3.802996873855591,-0.07105,4.17544,25.61949,0.9999711791861656
3.9029963314533234,-0.07105,4.17544,25.61949,0.9999704160971601
4.004001617431641,-0.07186,4.17544,25.61949,0.9999696443086176
4.106998443603516,-0.07186,4.17544,25.61949,0.9999688725200752
